Id,RelatedPostId,PostId,LinkTypeId,CreationDate
50,71,75,1,2014-05-15T01:46:28.467
172,41,59,1,2014-05-20T17:42:19.287
387,61,361,1,2014-06-13T16:44:29.323
392,361,61,1,2014-06-13T16:58:23.247
451,155,370,1,2014-06-14T21:14:55.363
583,155,422,1,2014-06-17T05:29:11.830
789,461,477,1,2014-06-19T10:31:16.540
897,458,518,1,2014-06-22T16:56:52.783
1089,461,477,3,2014-06-26T05:31:41.193
1181,22,616,1,2014-06-27T16:40:17.393
2265,739,808,1,2014-07-22T09:03:49.270
2362,223,825,1,2014-07-24T02:23:23.703
2442,829,838,3,2014-07-25T16:26:00.903
2560,52,554,1,2014-07-28T12:07:25.573
2870,810,934,1,2014-08-07T12:24:39.557
2945,859,948,1,2014-08-08T20:46:58.493
3020,955,954,1,2014-08-11T15:19:58.320
3049,954,955,1,2014-08-12T08:00:42.737
3400,917,974,1,2014-08-14T04:28:36.933
4741,334,1011,1,2014-08-20T19:31:26.227
5030,948,1053,1,2014-08-28T01:36:40.540
5387,454,1107,1,2014-09-12T15:20:51.767
5388,1107,1108,1,2014-09-12T16:26:15.827
5780,22,1132,1,2014-09-17T10:16:07.100
5848,808,1141,1,2014-09-19T07:15:13.803
5849,739,1141,1,2014-09-19T07:15:13.803
6169,211,1174,1,2014-09-28T12:51:43.823
6508,992,1208,1,2014-10-07T01:49:29.913
7275,2313,2316,1,2014-10-20T15:07:07.377
7370,2313,2316,3,2014-10-21T14:09:06.617
7795,842,2343,1,2014-11-01T10:16:55.557
8370,2403,2460,1,2014-11-13T09:57:42.740
9841,52,2654,1,2014-12-10T01:59:48.700
9842,834,2654,1,2014-12-10T02:05:33.430
11720,739,2510,1,2014-12-21T11:43:35.100
11856,1021,3750,1,2014-12-23T04:46:33.330
11867,2651,3751,1,2014-12-23T09:43:34.677
11875,1021,3750,3,2014-12-23T15:42:50.883
12105,3769,3738,1,2014-12-27T17:55:03.700
12372,3772,3794,1,2015-01-01T20:19:20.997
12386,3738,3794,1,2015-01-02T06:02:26.190
12435,3738,1174,1,2015-01-03T01:17:47.957
12495,758,2346,1,2015-01-04T05:22:48.670
12496,904,2346,1,2015-01-04T05:22:48.670
12497,1002,2346,1,2015-01-04T05:22:48.670
12498,3718,2346,1,2015-01-04T05:22:48.670
13702,4831,4836,1,2015-01-08T18:12:36.247
13789,739,1216,1,2015-01-10T09:28:17.187
14031,4914,4884,1,2015-01-20T15:28:54.607
14072,842,4921,1,2015-01-22T11:42:20.250
14152,917,4942,1,2015-01-26T08:00:14.630
14153,974,4942,1,2015-01-26T08:00:14.630
14154,1107,4944,1,2015-01-26T14:45:43.053
14199,4919,4913,1,2015-01-27T16:06:35.780
14230,4919,4913,3,2015-01-28T19:48:17.040
14241,812,4974,1,2015-01-29T00:57:39.603
14361,155,5001,1,2015-01-31T14:27:15.657
14403,265,5021,1,2015-02-03T08:09:44.953
14404,1119,5021,1,2015-02-03T08:09:44.953
15550,4831,5155,1,2015-02-16T15:20:35.737
16891,5176,5191,1,2015-02-20T12:29:15.497
17350,739,5192,1,2015-02-25T22:41:45.663
17351,758,5192,1,2015-02-25T22:41:45.663
17352,842,5192,1,2015-02-25T22:41:45.663
17779,5108,2313,1,2015-03-03T23:27:18.197
17965,5193,2391,1,2015-03-06T04:29:42.800
18348,5193,5317,1,2015-03-14T09:45:40.763
18493,3718,5336,1,2015-03-17T14:48:29.080
18619,758,5357,1,2015-03-21T20:09:53.157
18632,59,5371,1,2015-03-22T18:53:39.820
19053,917,5436,1,2015-04-02T23:38:56.127
19229,19,5464,1,2015-04-06T17:36:22.860
19780,41,5502,1,2015-04-12T05:23:13.703
19781,3730,5502,1,2015-04-12T05:23:13.703
19782,4925,5502,1,2015-04-12T05:23:13.703
20357,5193,5549,1,2015-04-17T23:29:30.693
20715,842,5566,1,2015-04-21T22:56:21.440
20716,5080,5566,1,2015-04-21T22:56:21.440
20717,5442,5566,1,2015-04-21T22:56:21.440
21633,5316,5639,1,2015-05-03T04:22:43.507
22178,641,5730,1,2015-05-09T05:44:50.633
22261,3718,5735,1,2015-05-10T02:02:13.227
22268,4980,5730,1,2015-05-10T06:35:58.720
22269,758,5701,1,2015-05-10T06:43:37.420
22427,812,5110,1,2015-05-12T12:42:28.347
22428,2670,5110,1,2015-05-12T12:42:28.347
22520,2384,5775,1,2015-05-13T16:20:31.883
22655,4942,5803,1,2015-05-16T02:36:52.970
22791,334,5826,1,2015-05-19T09:29:02.810
22792,313,5826,1,2015-05-19T09:29:02.810
22793,14,5826,1,2015-05-19T09:29:02.810
22794,159,5826,1,2015-05-19T09:29:02.810
22795,234,5826,1,2015-05-19T09:29:02.810
22796,808,5826,1,2015-05-19T09:29:02.810
22797,739,5826,1,2015-05-19T09:29:02.810
22798,1216,5826,1,2015-05-19T09:29:02.810
23047,5860,5881,1,2015-05-24T00:51:22.027
23428,5941,5838,1,2015-05-28T22:10:02.293
23749,4967,5990,1,2015-06-04T02:13:34.443
24053,5417,6035,1,2015-06-07T16:48:05.347
24070,5417,6035,3,2015-06-07T18:44:06.470
24589,3751,6068,1,2015-06-10T18:47:11.447
26167,5838,6192,1,2015-06-23T19:26:12.690
26907,22,6274,1,2015-06-30T06:44:20.367
27381,2651,6068,1,2015-07-03T21:40:24.750
28389,6200,6088,1,2015-07-14T08:44:52.227
29082,5193,6547,1,2015-07-22T14:26:58.660
29197,6547,2293,1,2015-07-24T13:15:31.040
29644,6631,6591,1,2015-07-30T14:07:59.307
30097,6648,6683,1,2015-08-04T17:44:35.277
31759,739,6730,3,2015-08-09T17:03:37.433
